Continuous Case:
Configuration:
pho = 0.1
diff_thresold = 1e-5
train_error_threshold = 1e-5
 Iter  FuncEvals       F(X)          ||G(X)||/N        
------ --------- ---------------- ----------------
     0         1   72653.77971791       0.00480988
     1         6   72642.70097805       0.31047835
     2        15   72642.46158210       0.35512875
     3        24   72616.51671268       0.77538058
     4        32   72602.25863065       1.00695568
     5        40   72452.71591188       1.48085054
     6        48   72122.84277726       2.09353004
     7        56   71127.52673883       3.10096316
     8        64   68147.11505339       4.58699695
     9        73   64063.08479992       5.58602646
    10        81   60501.03093058       8.64163032
    11        90   56155.69884538       9.86675665
    12        98   50803.52235413       8.79277090
    13       106   46956.66553767       9.70927936
    14       114   43968.08782999       9.63810424
    15       122   38550.48694878      12.13046153
    16       130   35120.25950187      12.74978266
    17       138   30281.54163432      13.25803215
    18       146   24978.30133500      14.33140356
    19       154   21835.95729277      10.46149827
    20       161   19886.11754240       6.91592830
    21       168   19018.89131332       5.89569566
    22       175   18270.91408035       5.75272055
    23       182   16937.15449059       7.11787257
    24       190   15832.00326287       5.24686296
    25       198   14602.69907536       5.01574669
    26       205   14049.38390369       5.51476510
    27       213   13327.46992143       4.50444476
    28       220   12881.67680513       2.38552991
    29       226   12752.85795300       2.45998515
    30       233   12600.92861829       2.36480132
    31       240   12495.11833509       1.59015109
    32       246   12407.93824347       1.43877719
    33       252   12359.89354307       1.45648938
    34       258   12315.54977833       1.15415658
    35       264   12274.10386942       1.00206994
    36       270   12241.45330814       0.92709069
    37       276   12223.15652999       0.86236957
    38       282   12203.50038316       0.81067638
    39       288   12181.01904997       0.66148938
    40       294   12168.60556482       0.56234246
    41       299   12164.08727010       0.41565596
    42       304   12158.55583012       0.45730333
    43       310   12152.90444291       0.34673369
    44       315   12148.80611256       0.40849074
    45       321   12145.17151433       0.36354713
    46       326   12141.47333834       0.33908115
    47       331   12137.19938605       0.31974943
    48       336   12134.20701370       0.32643565
    49       342   12131.50880167       0.31375149
    50       347   12128.43306236       0.28922423
    51       353   12125.57601747       0.28977007
    52       358   12124.18308168       0.21427867
    53       363   12122.61731937       0.21867237
    54       368   12121.06595154       0.18156067
    55       373   12120.29415922       0.16728921
    56       378   12119.52488193       0.14593673
    57       382   12118.91127474       0.11801297
    58       387   12118.47424902       0.12415045
    59       391   12118.16459662       0.10814843
    60       396   12117.77853678       0.09242016
    61       399   12117.62092267       0.07732107
    62       403   12117.46269910       0.07715532
    63       407   12117.29434271       0.06456450
    64       411   12117.16251720       0.07246851
    65       415   12117.02661623       0.06725740
    66       419   12116.91798716       0.05823908
    67       423   12116.76783173       0.06082152
    68       427   12116.65911332       0.06763079
    69       431   12116.57195085       0.05287611
    70       435   12116.44948839       0.06012443
    71       439   12116.31990744       0.04879867
    72       443   12116.26971037       0.04621934
    73       447   12116.21300361       0.04664118
    74       451   12116.14274871       0.04104273
    75       455   12116.08454291       0.05080586
    76       459   12116.02156305       0.04270636
    77       463   12115.97132475       0.03552306
    78       467   12115.92360572       0.04576699
    79       471   12115.88430300       0.03369227
    80       475   12115.84571886       0.03491721
    81       478   12115.82277516       0.02565066
    82       481   12115.79397671       0.02748366
    83       484   12115.77868422       0.02303825
    84       487   12115.76352692       0.02048541
    85       490   12115.74665962       0.02178703
    86       494   12115.73698879       0.01905356
nfold: 1 rank: 1
iter:1  diff:0.00007451 train_error:1795.56772659 test_error:7486.61524930
iter:2  diff:20.75493317 train_error:7.83922923 test_error:6.66210765
iter:3  diff:1.11982833 train_error:7.21134478 test_error:7.65587250
iter:4  diff:0.90914128 train_error:769.27867849 test_error:25.33611145
iter:5  diff:15.27583528 train_error:15514043.20907111 test_error:935191.37247380
iter:6  diff:0.48037200 train_error:132529670.84573433 test_error:8174817.06509114
iter:7  diff:2.54305567 train_error:504251056.86389780 test_error:31313350.72345934
iter:8  diff:15.60387948 train_error:1376697160.66447353 test_error:85768667.79808104
iter:9  diff:19.24688790 train_error:2112067787.33469343 test_error:132150904.76056084
iter:10  diff:7.51078297 train_error:2149654604.00429678 test_error:135046191.34501481
iter:11  diff:1.79330086 train_error:1920638144.84067225 test_error:120986932.28393425
iter:12  diff:0.46950731 train_error:1686990619.44942260 test_error:106476926.57049838
iter:13  diff:0.19361280 train_error:1503307786.15370417 test_error:95033610.02091902
iter:14  diff:0.12722239 train_error:1369218122.78900790 test_error:86675720.43843824
iter:15  diff:0.10118655 train_error:1274200621.23645425 test_error:80759912.80763297
iter:16  diff:0.08332431 train_error:1207894680.74742103 test_error:76641929.56523047
iter:17  diff:0.06862903 train_error:1162035686.34435654 test_error:73804382.81983469
iter:18  diff:0.05670110 train_error:1130424472.92939472 test_error:71857752.24128322
iter:19  diff:0.04740410 train_error:1108524601.54591465 test_error:70516498.04149334
iter:20  diff:0.04034069 train_error:1093070219.15945435 test_error:69575051.68790762
iter:21  diff:0.03499802 train_error:1081752908.83753443 test_error:68888337.12638807
iter:22  diff:0.03090006 train_error:1072980833.76192665 test_error:68356620.82846223
iter:23  diff:0.02767338 train_error:1065692555.97111797 test_error:67913718.13613404
iter:24  diff:0.02505201 train_error:1059211755.46678722 test_error:67517760.47246444
iter:25  diff:0.02285630 train_error:1053134015.08145833 test_error:67143996.51670380
iter:26  diff:0.02096736 train_error:1047239914.84760475 test_error:66779272.22156998
iter:27  diff:0.01930602 train_error:1041430062.94528878 test_error:66417912.53070197
iter:28  diff:0.01781834 train_error:1035678177.83954597 test_error:66058755.56052746
iter:29  diff:0.01646653 train_error:1029998564.72886550 test_error:65703104.18035495
iter:30  diff:0.01522357 train_error:1024424618.46663880 test_error:65353378.81750412
iter:31  diff:0.01407000 train_error:1018995412.64565516 test_error:65012283.16725992
iter:32  diff:0.01299191 train_error:1013747956.18903017 test_error:64682328.25152599
iter:33  diff:0.01197953 train_error:1008713237.84482610 test_error:64365594.98924360
iter:34  diff:0.01102619 train_error:1003914672.35886347 test_error:64063647.11648620
iter:35  diff:0.01012748 train_error:999367974.77249777 test_error:63777532.71075039
iter:36  diff:0.00928054 train_error:995081810.86235917 test_error:63507833.10874837
iter:37  diff:0.00848355 train_error:991058808.11406648 test_error:63254733.06412615
iter:38  diff:0.00773527 train_error:987296676.66291356 test_error:63018096.47727523
iter:39  diff:0.00703476 train_error:983789299.35831094 test_error:62797538.97986185
iter:40  diff:0.00638116 train_error:980527719.39406455 test_error:62592493.03751241
iter:41  diff:0.00577350 train_error:977500995.37207592 test_error:62402263.83979410
iter:42  diff:0.00521068 train_error:974696916.76240540 test_error:62226075.70023321
iter:43  diff:0.00469140 train_error:972102584.72842574 test_error:62063109.43405692
iter:44  diff:0.00421412 train_error:969704869.00308275 test_error:61912531.53153872
iter:45  diff:0.00377712 train_error:967490754.04757655 test_error:61773516.09021179
iter:46  diff:0.00337849 train_error:965447588.92122853 test_error:61645260.52383009
iter:47  diff:0.00301615 train_error:963563255.80689847 test_error:61526996.07430349
iter:48  diff:0.00268794 train_error:961826272.23366213 test_error:61417994.13401035
iter:49  diff:0.00239161 train_error:960225841.59947968 test_error:61317569.33393732
iter:50  diff:0.00212489 train_error:958751865.58466554 test_error:61225080.26830961
iter:51  diff:0.00188551 train_error:957394930.40375006 test_error:61139928.61050034
iter:52  diff:0.00167123 train_error:956146276.83898270 test_error:61061557.23681571
iter:53  diff:0.00147991 train_error:954997761.74062467 test_error:60989447.83146279
iter:54  diff:0.00130946 train_error:953941816.50164807 test_error:60923118.30778284
iter:55  diff:0.00115793 train_error:952971406.11458683 test_error:60862120.26252449
iter:56  diff:0.00102349 train_error:952079990.82551038 test_error:60806036.58503376
iter:57  diff:0.00090441 train_error:951261491.30553150 test_error:60754479.27446062
iter:58  diff:0.00079912 train_error:950510257.46964467 test_error:60707087.47323143
iter:59  diff:0.00070617 train_error:949821040.64998245 test_error:60663525.70005646
iter:60  diff:0.00062422 train_error:949188968.64056528 test_error:60623482.25315961
iter:61  diff:0.00055207 train_error:948609523.07550645 test_error:60586667.75434947
iter:62  diff:0.00048864 train_error:948078518.65942883 test_error:60552813.80626311
iter:63  diff:0.00043294 train_error:947592083.87543559 test_error:60521671.74308605
iter:64  diff:0.00038409 train_error:947146642.88154852 test_error:60493011.46016791
iter:65  diff:0.00034130 train_error:946738898.42673767 test_error:60466620.31456962
iter:66  diff:0.00030387 train_error:946365815.65568197 test_error:60442302.09370684
iter:67  diff:0.00027119 train_error:946024606.76661897 test_error:60419876.05175844
iter:68  diff:0.00024269 train_error:945712716.46669471 test_error:60399176.01603946
iter:69  diff:0.00021790 train_error:945427808.20474613 test_error:60380049.56650042
iter:70  diff:0.00019637 train_error:945167751.13525999 test_error:60362357.29028745
iter:71  diff:0.00017773 train_error:944930607.72214031 test_error:60345972.11260746
